Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,7200.17,7250.45,7173.23,7203.98,7203.98,22435000000
2020-06-01,9456.22,9779.12,9423.89,9720.33,9720.33,25842000000
2021-01-01,29001.72,29600.14,28877.62,29374.15,29374.15,40723000000
2021-06-01,36687.77,37999.43,35987.12,37320.19,37320.19,35480000000
2022-01-01,46210.13,47789.11,45598.19,46897.32,46897.32,31987000000
2022-06-01,31752.92,32567.12,30421.18,31109.44,31109.44,28112000000
2023-01-01,16605.22,16989.11,16400.28,16842.19,16842.19,21934000000
2023-06-01,27223.19,28340.54,26741.87,28120.66,28120.66,24399000000
2024-01-01,42150.43,43410.23,41788.12,42877.55,42877.55,33156000000
2024-06-01,68312.11,69200.22,67510.34,68744.18,68744.18,45622000000
2024-12-01,61840.09,62700.89,60212.23,61478.44,61478.44,39278000000
